nohup: ignoring input
================================================================================
[INFO] -- Experiment Configs --
        training
           lr:           0.0100
         seed:           1
       epochs:           1000
       method:           mlqp2
hidden number:           256
================================================================================
[INFO]: the plt save address is ./model=mlqp2_lr=0.01_seed=1_hidden_num=256
cuda
[INFO] -- MLQP2 INIT --
Epoch : 88, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 89, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 90, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 91, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 92, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 93, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 94, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 95, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 96, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 97, Training loss = 0.01, Training Acc = 0.99, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 98, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 99, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 100, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 101, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 102, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 103, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 104, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 105, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 106, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
Epoch : 107, Training loss = 0.01, Training Acc = 1.00, Validation loss = 0.01, Validation Acc = 1.00
